Label (Grouping),Category,State,Estimate,Margin of Error,Percent,Percent Margin of Error,Year
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),35.8%,±3.1,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),35.5%,±7.9,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),15.4%,±0.7,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),22.8%,±1.8,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),22.6%,±1.8,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),20.0%,±2.5,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),24.0%,±2.1,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),13.7%,±0.6,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),13.7%,±0.6,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),13.9%,±0.9,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),13.5%,±0.9,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,District of Columbia,(X),(X),18.7%,±0.8,2021
EMPLOYMENT STATUS,Header,Florida,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,Florida,"17,577,024","±3,962","17,577,024",(X),2021
        In labor force,EMPLOYMENT STATUS,Florida,"10,448,290","±20,215",59.4%,±0.1,2021
            Civilian labor force,EMPLOYMENT STATUS,Florida,"10,377,036","±20,103",59.0%,±0.1,2021
                Employed,EMPLOYMENT STATUS,Florida,"9,824,911","±19,618",55.9%,±0.1,2021
                Unemployed,EMPLOYMENT STATUS,Florida,"552,125","±7,541",3.1%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,Florida,"71,254","±2,599",0.4%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,Florida,"7,128,734","±20,443",40.6%,±0.1,2021
    Civilian labor force,EMPLOYMENT STATUS,Florida,"10,377,036","±20,103","10,377,036",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,Florida,(X),(X),5.3%,±0.1,2021
Females 16 years and over,EMPLOYMENT STATUS,Florida,"9,011,799","±2,703","9,011,799",(X),2021
        In labor force,EMPLOYMENT STATUS,Florida,"4,953,578","±13,989",55.0%,±0.2,2021
            Civilian labor force,EMPLOYMENT STATUS,Florida,"4,941,297","±13,899",54.8%,±0.2,2021
                Employed,EMPLOYMENT STATUS,Florida,"4,677,500","±13,840",51.9%,±0.2,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,Florida,"1,280,251","±4,795","1,280,251",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Florida,"871,676","±7,596",68.1%,±0.5,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,Florida,"2,745,189","±6,729","2,745,189",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Florida,"1,991,756","±12,082",72.6%,±0.4,2021
COMMUTING TO WORK,Header,Florida,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,Florida,"9,698,180","±19,754","9,698,180",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,Florida,"7,378,614","±21,500",76.1%,±0.2,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,Florida,"873,361","±11,264",9.0%,±0.1,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,Florida,"135,556","±4,337",1.4%,±0.1,2021
        Walked,COMMUTING TO WORK,Florida,"130,097","±3,854",1.3%,±0.1,2021
        Other means,COMMUTING TO WORK,Florida,"223,547","±4,805",2.3%,±0.1,2021
        Worked from home,COMMUTING TO WORK,Florida,"957,005","±9,734",9.9%,±0.1,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,Florida,27.9,±0.1,(X),(X),2021
OCCUPATION,Header,Florida,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,Florida,"9,824,911","±19,618","9,824,911",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,Florida,"3,666,586","±23,530",37.3%,±0.2,2021
        Service occupations,OCCUPATION,Florida,"1,868,366","±13,782",19.0%,±0.1,2021
        Sales and office occupations,OCCUPATION,Florida,"2,342,482","±13,206",23.8%,±0.1,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,Florida,"911,442","±9,939",9.3%,±0.1,2021
"        Production, transportation, and material moving occupations",OCCUPATION,Florida,"1,036,035","±9,934",10.5%,±0.1,2021
INDUSTRY,Header,Florida,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,Florida,"9,824,911","±19,618","9,824,911",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,Florida,"82,127","±2,934",0.8%,±0.1,2021
        Construction,INDUSTRY,Florida,"790,448","±10,088",8.0%,±0.1,2021
        Manufacturing,INDUSTRY,Florida,"505,150","±7,692",5.1%,±0.1,2021
        Wholesale trade,INDUSTRY,Florida,"251,970","±4,326",2.6%,±0.1,2021
        Retail trade,INDUSTRY,Florida,"1,207,289","±11,426",12.3%,±0.1,2021
"        Transportation and warehousing, and utilities",INDUSTRY,Florida,"588,697","±7,680",6.0%,±0.1,2021
        Information,INDUSTRY,Florida,"165,462","±3,908",1.7%,±0.1,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,Florida,"767,861","±8,324",7.8%,±0.1,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,Florida,"1,327,971","±9,832",13.5%,±0.1,2021
"        Educational services, and health care and social assistance",INDUSTRY,Florida,"2,074,656","±14,158",21.1%,±0.1,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,Florida,"1,127,426","±11,894",11.5%,±0.1,2021
"        Other services, except public administration",INDUSTRY,Florida,"511,508","±6,867",5.2%,±0.1,2021
        Public administration,INDUSTRY,Florida,"424,346","±7,503",4.3%,±0.1,2021
CLASS OF WORKER,Header,Florida,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,Florida,"9,824,911","±19,618","9,824,911",(X),2021
        Private wage and salary workers,CLASS OF WORKER,Florida,"8,052,576","±19,705",82.0%,±0.1,2021
        Government workers,CLASS OF WORKER,Florida,"1,151,618","±13,256",11.7%,±0.1,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,Florida,"599,640","±8,241",6.1%,±0.1,2021
        Unpaid family workers,CLASS OF WORKER,Florida,"21,077","±1,617",0.2%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,Florida,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"8,157,420","±21,974","8,157,420",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"479,790","±6,977",5.9%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"320,587","±5,166",3.9%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"698,552","±7,488",8.6%,±0.1,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"761,993","±8,453",9.3%,±0.1,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"1,060,848","±9,048",13.0%,±0.1,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"1,482,427","±11,368",18.2%,±0.1,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"1,045,393","±10,610",12.8%,±0.1,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"1,198,886","±10,899",14.7%,±0.1,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"513,107","±6,546",6.3%,±0.1,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"595,837","±7,779",7.3%,±0.1,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"61,777",±263,(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"88,267",±395,(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"5,972,031","±18,233",73.2%,±0.1,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"87,734",±419,(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"3,013,364","±13,536",36.9%,±0.1,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"21,436",±55,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"1,915,226","±14,143",23.5%,±0.1,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"31,641",±406,(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"406,754","±5,030",5.0%,±0.1,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"10,385",±97,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"201,310","±4,898",2.5%,±0.1,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"3,070",±75,(X),(X),2021
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"1,079,253","±8,957",13.2%,±0.1,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"5,274,491","±19,898","5,274,491",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"187,876","±4,340",3.6%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"112,013","±3,122",2.1%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"312,749","±5,375",5.9%,±0.1,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"417,854","±5,844",7.9%,±0.1,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"651,484","±6,719",12.4%,±0.1,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"982,162","±8,475",18.6%,±0.1,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"760,463","±10,103",14.4%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"931,547","±9,862",17.7%,±0.2,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"422,706","±6,282",8.0%,±0.1,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"495,637","±7,546",9.4%,±0.1,2021
        Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"74,237",±374,(X),(X),2021
        Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"102,392",±549,(X),(X),2021
    Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"35,216",±176,(X),(X),2021
    Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"2,882,929","±11,822","2,882,929",(X),2021
        Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"39,047",±221,(X),(X),2021
        Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"58,002",±463,(X),(X),2021
    Median earnings for workers (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"34,367",±116,(X),(X),2021
"    Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"49,411",±337,(X),(X),2021
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Florida,"41,496",±177,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,Florida,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,Florida,"21,027,201","±2,548","21,027,201",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,Florida,"18,369,975","±29,642",87.4%,±0.1,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,Florida,"13,263,169","±49,421",63.1%,±0.2,2021
            With public coverage,HEALTH INSURANCE COVERAGE,Florida,"7,709,520","±26,117",36.7%,±0.1,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Florida,"2,657,226","±29,509",12.6%,±0.1,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,Florida,"4,506,790","±3,235","4,506,790",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Florida,"338,776","±7,603",7.5%,±0.2,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,Florida,"12,237,417","±3,957","12,237,417",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,Florida,"9,467,982","±17,472","9,467,982",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,Florida,"8,982,421","±17,463","8,982,421",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Florida,"7,482,475","±26,708",83.3%,±0.2,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Florida,"7,030,900","±25,935",78.3%,±0.2,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Florida,"694,290","±8,881",7.7%,±0.1,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Florida,"1,499,946","±18,212",16.7%,±0.2,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,Florida,"485,561","±7,024","485,561",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Florida,"297,366","±5,772",61.2%,±0.8,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Florida,"206,576","±4,951",42.5%,±0.8,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Florida,"105,037","±3,415",21.6%,±0.6,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Florida,"188,195","±4,473",38.8%,±0.8,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,Florida,"2,769,435","±16,844","2,769,435",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,Florida,"2,187,440","±14,642",79.0%,±0.3,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,Florida,"1,419,461","±11,788",51.3%,±0.4,2021
                With public coverage,HEALTH INSURANCE COVERAGE,Florida,"953,925","±10,832",34.4%,±0.3,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,Florida,"581,995","±10,551",21.0%,±0.3,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,Florida,,,,,2021
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),9.3%,±0.1,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),14.8%,±0.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),13.7%,±0.6,2021
        Married couple families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),5.5%,±0.1,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),7.2%,±0.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),5.9%,±0.5,2021
"        Families with female householder, no spouse present",PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),22.2%,±0.4,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),31.2%,±0.5,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),33.9%,±1.5,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),13.1%,±0.1,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),18.2%,±0.4,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),17.8%,±0.4,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),19.6%,±0.5,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),17.2%,±0.4,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),11.8%,±0.1,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),12.2%,±0.1,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),10.7%,±0.2,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),10.3%,±0.2,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Florida,(X),(X),24.0%,±0.2,2021
EMPLOYMENT STATUS,Header,Georgia,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,Georgia,"8,385,039","±3,263","8,385,039",(X),2021
        In labor force,EMPLOYMENT STATUS,Georgia,"5,329,864","±13,113",63.6%,±0.2,2021
            Civilian labor force,EMPLOYMENT STATUS,Georgia,"5,274,596","±13,021",62.9%,±0.2,2021
                Employed,EMPLOYMENT STATUS,Georgia,"4,983,753","±13,339",59.4%,±0.2,2021
                Unemployed,EMPLOYMENT STATUS,Georgia,"290,843","±5,368",3.5%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,Georgia,"55,268","±2,241",0.7%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,Georgia,"3,055,175","±12,861",36.4%,±0.2,2021
    Civilian labor force,EMPLOYMENT STATUS,Georgia,"5,274,596","±13,021","5,274,596",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,Georgia,(X),(X),5.5%,±0.1,2021
Females 16 years and over,EMPLOYMENT STATUS,Georgia,"4,337,320","±2,533","4,337,320",(X),2021
        In labor force,EMPLOYMENT STATUS,Georgia,"2,563,105","±9,091",59.1%,±0.2,2021
            Civilian labor force,EMPLOYMENT STATUS,Georgia,"2,555,762","±8,839",58.9%,±0.2,2021
                Employed,EMPLOYMENT STATUS,Georgia,"2,407,578","±9,635",55.5%,±0.2,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,Georgia,"740,387","±4,101","740,387",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Georgia,"495,792","±5,659",67.0%,±0.7,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,Georgia,"1,640,744","±5,363","1,640,744",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Georgia,"1,181,777","±8,524",72.0%,±0.5,2021
COMMUTING TO WORK,Header,Georgia,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,Georgia,"4,926,936","±13,554","4,926,936",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,Georgia,"3,743,763","±14,979",76.0%,±0.2,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,Georgia,"445,999","±8,144",9.1%,±0.2,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,Georgia,"81,781","±3,057",1.7%,±0.1,2021
        Walked,COMMUTING TO WORK,Georgia,"68,099","±2,577",1.4%,±0.1,2021
        Other means,COMMUTING TO WORK,Georgia,"88,348","±3,042",1.8%,±0.1,2021
        Worked from home,COMMUTING TO WORK,Georgia,"498,946","±6,793",10.1%,±0.1,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,Georgia,28.6,±0.1,(X),(X),2021
OCCUPATION,Header,Georgia,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,Georgia,"4,983,753","±13,339","4,983,753",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,Georgia,"1,963,375","±15,277",39.4%,±0.3,2021
        Service occupations,OCCUPATION,Georgia,"784,435","±9,806",15.7%,±0.2,2021
        Sales and office occupations,OCCUPATION,Georgia,"1,074,970","±8,935",21.6%,±0.2,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,Georgia,"430,761","±7,281",8.6%,±0.1,2021
"        Production, transportation, and material moving occupations",OCCUPATION,Georgia,"730,212","±9,028",14.7%,±0.2,2021
INDUSTRY,Header,Georgia,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,Georgia,"4,983,753","±13,339","4,983,753",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,Georgia,"51,511","±2,555",1.0%,±0.1,2021
        Construction,INDUSTRY,Georgia,"334,926","±5,775",6.7%,±0.1,2021
        Manufacturing,INDUSTRY,Georgia,"518,303","±7,664",10.4%,±0.1,2021
        Wholesale trade,INDUSTRY,Georgia,"135,873","±4,106",2.7%,±0.1,2021
        Retail trade,INDUSTRY,Georgia,"559,219","±7,305",11.2%,±0.1,2021
"        Transportation and warehousing, and utilities",INDUSTRY,Georgia,"346,655","±6,311",7.0%,±0.1,2021
        Information,INDUSTRY,Georgia,"112,730","±3,974",2.3%,±0.1,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,Georgia,"314,462","±6,064",6.3%,±0.1,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,Georgia,"647,305","±7,928",13.0%,±0.2,2021
"        Educational services, and health care and social assistance",INDUSTRY,Georgia,"1,046,904","±10,113",21.0%,±0.2,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,Georgia,"447,615","±6,357",9.0%,±0.1,2021
"        Other services, except public administration",INDUSTRY,Georgia,"230,571","±4,795",4.6%,±0.1,2021
        Public administration,INDUSTRY,Georgia,"237,679","±5,323",4.8%,±0.1,2021
CLASS OF WORKER,Header,Georgia,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,Georgia,"4,983,753","±13,339","4,983,753",(X),2021
        Private wage and salary workers,CLASS OF WORKER,Georgia,"3,991,344","±14,664",80.1%,±0.2,2021
        Government workers,CLASS OF WORKER,Georgia,"710,978","±10,144",14.3%,±0.2,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,Georgia,"272,197","±4,993",5.5%,±0.1,2021
        Unpaid family workers,CLASS OF WORKER,Georgia,"9,234",±959,0.2%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,Georgia,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"3,885,371","±8,940","3,885,371",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"235,927","±5,143",6.1%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"154,077","±3,212",4.0%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"320,834","±5,026",8.3%,±0.1,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"341,362","±5,024",8.8%,±0.1,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"461,838","±7,193",11.9%,±0.2,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Georgia,"676,085","±7,934",17.4%,±0.2,2021
